Date,Hour,Toronto,Ottawa,Bruce
4/4/2020,0,4212,709,74
4/4/2020,1,4083,690,73
4/4/2020,2,3997,682,70
4/4/2020,3,3971,683,71
4/4/2020,4,4010,700,72
4/4/2020,5,4113,730,81
4/4/2020,6,4212,742,85
4/4/2020,7,4397,738,85
4/4/2020,8,4589,742,82
4/4/2020,9,4749,762,79
4/4/2020,10,4902,766,77
4/4/2020,11,5005,759,75
4/4/2020,12,5021,749,75
4/4/2020,13,4995,733,77
4/4/2020,14,4970,738,78
4/4/2020,15,4974,788,80
4/4/2020,16,5072,856,86
4/4/2020,17,5148,890,85
4/4/2020,18,5185,903,81
4/4/2020,19,5211,909,75
4/4/2020,20,5034,864,75
4/4/2020,21,4787,807,77
4/4/2020,22,4515,749,73
4/4/2020,23,4275,699,67
4/5/2020,0,4127,673,66
4/5/2020,1,4008,662,67
4/5/2020,2,3901,656,69
4/5/2020,3,3890,666,71
4/5/2020,4,3908,677,74
4/5/2020,5,3992,698,79
4/5/2020,6,4052,721,82
4/5/2020,7,4193,770,84
4/5/2020,8,4365,820,84
4/5/2020,9,4557,860,82
4/5/2020,10,4707,891,84
4/5/2020,11,4857,911,83
4/5/2020,12,4856,896,82
4/5/2020,13,4800,868,81
4/5/2020,14,4756,864,82
4/5/2020,15,4770,888,87
4/5/2020,16,4960,919,88
4/5/2020,17,5032,916,85
4/5/2020,18,5064,918,84
4/5/2020,19,5243,940,87
4/5/2020,20,5093,895,86
4/5/2020,21,4866,835,85
4/5/2020,22,4599,777,82
4/5/2020,23,4369,731,79
4/6/2020,0,4217,699,76
4/6/2020,1,4118,691,77
4/6/2020,2,4088,688,77
4/6/2020,3,4127,703,78
4/6/2020,4,4286,748,79
4/6/2020,5,4529,812,87
4/6/2020,6,4846,845,93
4/6/2020,7,5098,842,94
4/6/2020,8,5156,816,92
4/6/2020,9,5175,803,88
4/6/2020,10,5316,800,72
4/6/2020,11,5386,806,69
4/6/2020,12,5349,782,78
4/6/2020,13,5261,770,79
4/6/2020,14,5205,783,82
4/6/2020,15,5245,821,87
4/6/2020,16,5377,889,87
4/6/2020,17,5445,902,86
4/6/2020,18,5480,925,84
4/6/2020,19,5486,932,84
4/6/2020,20,5246,883,82
4/6/2020,21,4959,829,79
4/6/2020,22,4627,760,78
4/6/2020,23,4370,713,76
4/7/2020,0,4196,689,74
4/7/2020,1,4093,676,74
4/7/2020,2,4037,678,77
4/7/2020,3,4063,689,77
4/7/2020,4,4197,727,77
4/7/2020,5,4472,795,82
4/7/2020,6,4719,826,84
4/7/2020,7,4996,817,83
4/7/2020,8,5076,793,85
4/7/2020,9,5145,779,84
4/7/2020,10,5229,788,81
4/7/2020,11,5338,796,80
4/7/2020,12,5339,781,91
4/7/2020,13,5308,773,80
4/7/2020,14,5304,779,87
4/7/2020,15,5326,814,88
4/7/2020,16,5483,889,90
4/7/2020,17,5553,909,83
4/7/2020,18,5500,919,81
4/7/2020,19,5451,926,80
4/7/2020,20,5274,881,75
4/7/2020,21,4981,823,70
4/7/2020,22,4654,752,68
4/7/2020,23,4390,715,70
4/8/2020,0,4229,693,71
4/8/2020,1,4123,683,70
4/8/2020,2,4079,674,68
4/8/2020,3,4036,697,68
4/8/2020,4,4153,725,68
4/8/2020,5,4441,784,78
4/8/2020,6,4764,839,80
4/8/2020,7,5075,890,81
4/8/2020,8,5269,899,84
4/8/2020,9,5365,902,80
4/8/2020,10,5382,914,84
4/8/2020,11,5421,927,83
4/8/2020,12,5330,892,80
4/8/2020,13,5211,870,79
4/8/2020,14,5132,882,82
4/8/2020,15,5115,923,82
4/8/2020,16,5203,975,86
4/8/2020,17,5219,963,82
4/8/2020,18,5233,959,80
4/8/2020,19,5344,946,80
4/8/2020,20,5171,895,78
4/8/2020,21,4884,828,76
4/8/2020,22,4580,768,75
4/8/2020,23,4327,726,71
4/9/2020,0,4131,697,53
4/9/2020,1,4024,680,56
4/9/2020,2,3991,687,68
4/9/2020,3,4001,705,72
4/9/2020,4,4178,735,74
4/9/2020,5,4533,793,75
4/9/2020,6,4857,865,75
4/9/2020,7,5106,916,73
4/9/2020,8,5198,944,67
4/9/2020,9,5186,979,64
4/9/2020,10,5308,996,68
4/9/2020,11,5348,1001,68
4/9/2020,12,5282,964,68
4/9/2020,13,5191,967,72
4/9/2020,14,5123,954,74
4/9/2020,15,5126,954,76
4/9/2020,16,5238,965,75
4/9/2020,17,5270,939,65
4/9/2020,18,5279,955,60
4/9/2020,19,5417,962,58
4/9/2020,20,5274,927,57
4/9/2020,21,5012,875,60
4/9/2020,22,4690,813,54
4/9/2020,23,4424,778,57
4/10/2020,0,4243,750,56
4/10/2020,1,4115,734,57
4/10/2020,2,4057,727,57
4/10/2020,3,4050,733,59
4/10/2020,4,4108,761,61
4/10/2020,5,4204,796,66
4/10/2020,6,4258,815,69
4/10/2020,7,4379,844,71
4/10/2020,8,4522,862,73
4/10/2020,9,4613,879,65
4/10/2020,10,4714,892,66
4/10/2020,11,4796,914,65
4/10/2020,12,4797,907,66
4/10/2020,13,4768,898,64
4/10/2020,14,4775,911,63
4/10/2020,15,4809,955,67
4/10/2020,16,4933,1017,66
4/10/2020,17,4975,997,64
4/10/2020,18,5003,983,65
4/10/2020,19,5153,964,67
4/10/2020,20,5041,922,65
4/10/2020,21,4822,863,65
4/10/2020,22,4578,810,64
4/10/2020,23,4353,773,65
